animal	sex	tx	bleed_day	weight_day	weight_g	delta
116335.1	F	mino	10	10	20.6	-0.00961538461538458
116335.2	F	mino	10	1	20	0
116335.2	F	mino	10	2	19.1	-0.04499999999999993
116335.2	F	mino	10	3	18.6	-0.06999999999999995
116335.2	F	mino	10	4	18.6	-0.06999999999999995
116335.2	F	mino	10	5	18.6	-0.06999999999999995
116335.2	F	mino	10	6	19.2	-0.04000000000000003
116335.2	F	mino	10	7	19	-0.05000000000000004
116335.2	F	mino	10	10	18.8	-0.05999999999999994
116335.3	F	mino	10	1	20.4	0
116335.3	F	mino	10	2	19.9	-0.02450980392156865
116335.3	F	mino	10	3	19	-0.06862745098039214
116335.3	F	mino	10	4	19.1	-0.06372549019607832
116335.3	F	mino	10	5	19.7	-0.03431372549019607
116335.3	F	mino	10	6	20.6	0.00980392156862763
116335.3	F	mino	10	7	19.4	-0.0490196078431373
116335.3	F	mino	10	10	20.3	-0.00490196078431359
116335.4	F	mino	10	1	20.4	0
116335.4	F	mino	10	2	18.9	-0.07352941176470584
116335.4	F	mino	10	3	18.8	-0.07843137254901955
116335.4	F	mino	10	4	19.4	-0.0490196078431373
116335.4	F	mino	10	5	20.5	0.0049019607843137
116335.4	F	mino	10	6	19.6	-0.03921568627450966
116335.4	F	mino	10	7	19.7	-0.03431372549019607
116335.4	F	mino	10	10	20.3	-0.00490196078431359
116335.5	F	mino	10	1	20	0
116335.5	F	mino	10	2	19.3	-0.03499999999999992
116335.5	F	mino	10	3	19.4	-0.03000000000000002
116335.5	F	mino	10	4	20	0
116335.5	F	mino	10	5	20.4	0.02000000000000001
116335.5	F	mino	10	6	20.6	0.03000000000000002
116335.5	F	mino	10	7	20.3	0.01500000000000012
116335.5	F	mino	10	10	20.9	0.04499999999999993
116336.1	F	mino	10	1	20.3	0
116336.1	F	mino	10	2	19.6	-0.03448275862068961
116336.1	F	mino	10	3	19.8	-0.02463054187192115
116336.1	F	mino	10	4	20.4	0.00492610837438411
116336.1	F	mino	10	5	20.5	0.00985221674876846
116336.1	F	mino	10	6	20.9	0.02955665024630538
116336.1	F	mino	10	7	20.2	-0.00492610837438434
116336.1	F	mino	10	10	20	-0.01477832512315269
116336.2	F	mino	10	1	22.8	0
116336.2	F	mino	10	2	22.5	-0.01315789473684214
116336.2	F	mino	10	3	22.5	-0.01315789473684214
116336.2	F	mino	10	4	23.3	0.02192982456140346
116336.2	F	mino	10	5	22.8	0
116336.2	F	mino	10	6	22.5	-0.01315789473684214
116336.2	F	mino	10	7	22.5	-0.01315789473684214
116336.2	F	mino	10	10	22.2	-0.02631578947368429
116336.3	F	mino	10	1	19.9	0
116336.3	F	mino	10	2	19.8	-0.00502512562814061
116336.3	F	mino	10	3	20.8	0.04522613065326641
116336.3	F	mino	10	4	20.4	0.02512562814070351
116336.3	F	mino	10	5	20.5	0.03015075376884435
116336.3	F	mino	10	6	20.3	0.0201005025125629
116336.3	F	mino	10	7	19.9	0
116336.3	F	mino	10	10	20.6	0.03517587939698496
116336.4	F	mino	10	1	20.4	0
116336.4	F	mino	10	2	20	-0.01960784313725483
116336.4	F	mino	10	3	20.9	0.02450980392156854
116336.4	F	mino	10	4	20.6	0.00980392156862763
116336.4	F	mino	10	5	21.3	0.04411764705882359
116336.4	F	mino	10	6	20.7	0.01470588235294112
116336.4	F	mino	10	7	20.3	-0.00490196078431359
116336.4	F	mino	10	10	21.2	0.03921568627450989
116336.5	F	mino	10	1	20.6	0
116336.5	F	mino	10	2	20.6	0
116336.5	F	mino	10	3	20.6	0
116336.5	F	mino	10	4	21.8	0.05825242718446599
116336.5	F	mino	10	5	21.9	0.0631067961165046
116336.5	F	mino	10	6	21.5	0.04368932038834949
116336.5	F	mino	10	7	21.5	0.04368932038834949
116336.5	F	mino	10	10	21.2	0.02912621359223299
116337.1	F	mino	10	1	20	0
116337.1	F	mino	10	2	20.5	0.02499999999999991
116337.1	F	mino	10	3	20.6	0.03000000000000002
116337.1	F	mino	10	4	21.1	0.05500000000000016
116337.1	F	mino	10	5	21.1	0.05500000000000016
116337.1	F	mino	10	6	21.5	0.07499999999999996
116337.1	F	mino	10	7	20.8	0.04000000000000003
116337.1	F	mino	10	10	20.3	0.01500000000000012
116337.2	F	mino	10	1	20.4	0
116337.2	F	mino	10	2	19.8	-0.02941176470588225
116337.2	F	mino	10	3	20.2	-0.00980392156862741
116337.2	F	mino	10	4	20.6	0.00980392156862763
116337.2	F	mino	10	5	21	0.02941176470588247
116337.2	F	mino	10	6	20.5	0.0049019607843137
116337.2	F	mino	10	7	19.9	-0.02450980392156865
116337.2	F	mino	10	10	20.6	0.00980392156862763
116337.3	F	mino	10	1	20.4	0
116337.3	F	mino	10	2	20.1	-0.01470588235294101
116337.3	F	mino	10	3	20.5	0.0049019607843137
116337.3	F	mino	10	4	21	0.02941176470588247
116337.3	F	mino	10	5	20.4	0
116337.3	F	mino	10	7	19	-0.06862745098039214
116337.3	F	mino	10	10	20	-0.01960784313725483
116337.4	F	mino	10	1	22.6	0
116337.4	F	mino	10	2	21.5	-0.04867256637168149
116337.4	F	mino	10	3	21.4	-0.05309734513274344
116337.4	F	mino	10	4	22.4	-0.00884955752212401
116337.4	F	mino	10	5	22.2	-0.01769911504424792
116337.4	F	mino	10	6	21.9	-0.03097345132743378
116337.4	F	mino	10	7	21	-0.07079646017699126
116337.4	F	mino	10	10	21.8	-0.03539823008849563
116337.5	F	mino	10	1	20.5	0
116337.5	F	mino	10	2	20	-0.02439024390243904
116337.5	F	mino	10	3	20.2	-0.01463414634146342
116337.5	F	mino	10	4	20.5	0
116337.5	F	mino	10	5	20.1	-0.01951219512195112
116337.5	F	mino	10	6	20.2	-0.01463414634146342
116337.5	F	mino	10	7	19.7	-0.03902439024390247
116337.5	F	mino	10	10	17.5	-0.14634146341463417
