gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Tcerg1l	4.000114387757919	-0.39446265007970377	0.6527381429562882	-0.6043199012289369	0.5456309775644372	1
Tcf12	12.482633073640176	0.03521933616932839	0.3354022439732249	0.10500626278499184	0.9163708392128376	1
Tcf19	16.033695805684395	0.08535253859070614	0.3061129376344848	0.2788269559930251	0.7803776266215312	1
Tcf7	2.0081637904613516	-0.470450240862218	0.9802608681481249	-0.4799235143916093	0.631281780274239	1
Tcf7l1	3.036980545334813	-0.5328152054443269	0.7860765216521753	-0.6778159514603694	0.49788839578593946	1
Tcf7l2	1.1008524362974794	-0.24175235583605115	1.3445526684974514	-0.1798013283527312	0.8573085407387276	1
Tchh	2.445249477036374	0.4319603666689056	0.8036812771149988	0.537477205167113	0.5909380263466679	1
Tchp	6.87631384320111	0.03537616496104152	0.4647740590217426	0.0761147578578317	0.9393277991288068	1
Tcirg1	11.164583721806418	-0.5683914852028548	0.38543958912952064	-1.4746577705899746	0.14030457482347758	1
Tcof1	20.10059216474235	-0.13440747570575906	0.2699099251809323	-0.4979715940999943	0.6185040637628809	1
Tcp11l1	9.261639152822973	0.3685810170862541	0.3804019165867152	0.9689252367429476	0.3325824928182266	1
Tcp11l2	18.696627109869763	0.17573226588228644	0.27072501521314635	0.6491172075248735	0.516262620311275	1
Tcte2	6.3140114177157125	-0.2064290469509875	0.502163510396909	-0.4110793450281292	0.6810143549360752	1
Tctn1	6.859930372417259	-0.11340818081468282	0.4728212721500844	-0.23985422715643903	0.8104432665332465	1
Tctn3	9.381913416078676	-0.04549356164576459	0.3985727419669925	-0.11414117639166632	0.9091258814600124	1
Tdp1	12.604813178508726	-0.23869593362728017	0.3445234798981644	-0.6928292193549038	0.4884167329646885	1
Tdp2	10.498417861129491	0.04777387475143251	0.37018491146127663	0.12905408424900086	0.8973148535558695	1
Tdrd3	9.791310475735784	-0.1745890164189003	0.3961503611428757	-0.4407140155450545	0.6594200487198125	1
Tdrd7	18.123239146360103	-0.16226437044203415	0.2826946006896318	-0.5739917566384047	0.5659733795580069	1
Tdrkh	18.564454684799237	-0.05082833424751156	0.28032708151997404	-0.18131795890683472	0.8561180104892016	1
Tdrp	10.446726418230035	-0.18351948082032757	0.3772367109506221	-0.4864836202125331	0.6266243159517433	1
Tead1	2.023235810841108	0.5519604175778557	0.921793391071103	0.5987897319772387	0.5493131103907667	1
Tead2	3.0092375511693104	-0.804270777047265	0.8151085792870998	-0.9867038545351668	0.32378783989768506	1
Tead3	1.2059850634122051	-0.332417692745672	1.3661026845922326	-0.24333287423770433	0.8077475396077645	1
Tec	1.2002034522365728	-0.4192404550603364	1.3076809699937832	-0.32059842169480335	0.7485147338328741	1
Tedc1	1.4532570866366867	0.14093429030683585	1.119984211521912	0.12583596166532082	0.8998617747296966	1
Tedc2	7.866089080264118	0.04169290430701287	0.4310444591256804	0.09672529926862232	0.9229445481184104	1
Teddm2	2.610747105749242	0.33012169704035127	0.7863986402682468	0.4197892520868858	0.6746394172012184	1
Tefm	8.265300652004413	0.17639480589539272	0.4213159180087068	0.4186758637772319	0.6754530375148222	1
Tek	5.679914433375355	-1.2581988185938553	0.6165064187202032	-2.040852747657895	0.04126546575889799	1
Tekt1	1.6429346465115036	-0.01115790185102706	1.1816518266841662	-0.00944263073018492	0.9924659826867988	1
Tekt4	1.9317465595696264	3.0749358313876636	1.2522956125063454	2.455439275422745	0.0140712524003627	1
Tekt5	7.88656351277184	0.16515704465059536	0.4377457820024419	0.37728985964203776	0.7059582071656834	1
Telo2	13.665993874434513	0.1810895285367127	0.3192165753929386	0.5672936260086154	0.5705147068442256	1
Tenm1	3.064186551782302	0.19058408031114124	0.7483911325674841	0.2546583891999226	0.7989869574110582	1
Tenm2	11.386605320336908	0.36365838346656865	0.3523156723818288	1.0321947389057589	0.30198089917212795	1
Tenm3	10.688880693425268	0.27686613021322887	0.36807136316726174	0.7522077453426153	0.45192613653795466	1
Tenm4	16.24360900975974	0.3405976123685225	0.292390278042469	1.1648732462953215	0.24407030438711125	1
Tent2	7.695112425111702	-0.01408208630678881	0.43598036461683926	-0.03229981772038022	0.974232954568281	1
Tent4a	18.377068901579857	-0.03599229552424113	0.27755128140915875	-0.12967800163452403	0.8968211877363915	1
Tent4b	11.693267048596162	-0.0807770702319943	0.3506994520911071	-0.23033132715305607	0.8178343193902488	1
Tep1	2.27849146155286	-0.29856814927335684	0.8985516200655733	-0.33227712532705506	0.7396800109379291	1
Tepsin	15.744231060597976	-0.1670738409795391	0.3057136499637771	-0.5465043546447307	0.584719295190544	1
Terf1	6.4996267957899825	-0.0589405059185099	0.4850863349675436	-0.1215051871590106	0.9032909063876244	1
Tesk2	3.655548480892068	0.16660645094987978	0.6557411648026076	0.25407349712448196	0.7994387779039308	1
Tet1	1.612858113217982	0.0831768802865952	1.0593992027726384	0.07851325550265313	0.9374197864057066	1
Tet2	2.2476494248629844	-0.1394908566582848	0.899280856082611	-0.1551137842141173	0.8767316154797409	1
Tet3	7.518779591304044	-0.041921908845324	0.4446328176645335	-0.09428433345411144	0.9248832945656156	1
Tex10	5.495805033617953	-0.0364154355359698	0.533187827347736	-0.06829757482857965	0.9455487546296024	1
Tex30	7.244341330548456	0.3384658964075479	0.4444756656820336	0.7614947735961718	0.44636159937055303	1
Tex52	1.4646098640770782	-0.7631307092289081	1.2793289770190446	-0.5965085782759909	0.5508355249129715	1
Tex9	5.9910443513116105	-0.32318843038498213	0.5259270965786694	-0.6145118448686715	0.5388771483002839	1
Tfap4	2.6113518872117667	-0.1914592017152004	0.8175083234485735	-0.23419847385473677	0.814830899765035	1
Tfb1m	5.632526166775421	-0.2245202645962236	0.529382265639324	-0.4241174651460512	0.6714801488834847	1
Tfb2m	11.109755898005734	0.00850917830209641	0.366375484786381	0.023225293873190712	0.9814705624539676	1
Tfcp2	10.445117286046628	-0.11983599876559288	0.37773892838964745	-0.31724556236888285	0.7510572802874835	1
Tfcp2l1	1.197801637534551	0.6883830499459958	1.2712915422563704	0.5414832295070642	0.5881745538664344	1
Tfdp2	8.926968184864709	0.27500462678002824	0.39471881168163264	0.6967102115260674	0.48598416693590046	1
Tfe3	20.5223777577634	-0.05972139105016167	0.26271421692243574	-0.22732454965615329	0.8201713848934309	1
Tfeb	9.36991513978934	-0.3106700313635331	0.4088022543859333	-0.7599518545468743	0.447283364096514	1
Tfpi	1.7460470406228965	-1.085567183376857	1.1465398409342795	-0.9468202888547356	0.34373036142010427	1
Tfr2	7.830916374480788	-0.15178428045991177	0.44689867697830377	-0.3396391358466265	0.7341283021224478	1
Tgds	3.1896188937066707	-0.1486718425389679	0.7201096963731145	-0.20645721518230428	0.8364337820919436	1
Tgfa	13.149530835234794	-0.41473853486247214	0.3728291104909933	-1.112409206234692	0.26596224809987806	1
Tgfb1	4.137257488533253	-0.918600630684879	0.6893241683843141	-1.3326105086928244	0.18265965476930893	1
Tgfb1i1	13.712417543337772	-0.6337030764633925	0.3624908978484483	-1.7481903138112278	0.08043107829521871	1
Tgfb2	2.922560260187616	-0.4172881044843186	0.8021136161405568	-0.520235657502161	0.6028993354086225	1
Tgfb3	7.077125421971239	-0.13492005653549635	0.4624384445531031	-0.29175787204691	0.770471757677708	1
Tgfbi	1.7442142296860983	0.28779069057071127	1.0705049454193378	0.26883639520037717	0.7880555846769325	1
Tgfbr1	8.693152038070522	-0.04880212660032702	0.41488354804969585	-0.11762849317534609	0.9063620273824076	1
Tgfbr2	7.510734495577833	-0.10934044494858836	0.4510901292529616	-0.24239157068159345	0.8084767652882185	1
Tgfbr3	3.214962669299762	0.4611637298715862	0.7103152871240763	0.649238075304201	0.5161845046896816	1
Tgfbr3l	2.9435623956379215	-1.2932523236422906	0.9556688842556832	-1.3532431001450174	0.17597798025397263	1
Tgfbrap1	20.24762428573212	0.1728277298281892	0.25773152220434614	0.6705727275810688	0.5024927611502623	1
Tgif1	1.0147981574486276	-0.09421225677253092	1.438728883634228	-0.06548298143188092	0.947789456100706	1
Tgm2	14.505889894699758	0.8877503599390069	0.3272297486682992	2.7129268153394173	0.00666918337460134	1
Tgm3	1.0861731918891202	0.980663742392473	1.3183669107622848	0.7438473572015316	0.4569688262373592	1
Tgs1	9.219638700439832	0.15884359482495833	0.3902325365685055	0.40704856704605735	0.6839723178557178	1
Th	1.4351959251028783	0.5508737706395467	1.2405776565784177	0.44404618100158866	0.657009195833877	1
Tha1	5.710083664018553	-0.11273580474786687	0.5238516178430882	-0.21520560576303344	0.8296070205566676	1
Thada	3.9335639913445184	0.12139613428306673	0.6379145090213594	0.19030157265007747	0.8490728213740806	1
Thap1	6.975291279688527	-0.0835770465396778	0.47025251805623103	-0.17772801490811788	0.8589365827870663	1
Thap2	3.1742170241621652	-0.3858080405054008	0.7394283322695508	-0.521765293089633	0.601833757427094	1
Thap6	1.4591893744490725	0.24720396563780067	1.1211033198056417	0.22050060977489283	0.8254812975324388	1
Thbd	8.113812160579405	-0.5857273889709886	0.513616443806413	-1.1403984355137875	0.25412034438027925	1
